n00004475	organism, being
n01851895	wild duck
n01852142	wood duck, summer duck, wood widgeon, Aix sponsa
n01852329	wood drake
n01852400	mandarin duck, Aix galericulata
n01852671	muscovy duck, musk duck, Cairina moschata
n01852861	sea duck
n01853195	eider, eider duck
n01853498	scoter, scooter
n01853666	common scoter, Melanitta nigra
n01853870	old squaw, oldwife, Clangula hyemalis
n01854415	merganser, fish duck, sawbill, sheldrake
n01854700	goosander, Mergus merganser
n01854838	American merganser, Mergus merganser americanus
n01855032	red-breasted merganser, Mergus serrator
n01855188	smew, Mergus albellus
n01855476	hooded merganser, hooded sheldrake, Lophodytes cucullatus
n01855672	goose
n01856072	gosling
n01856155	gander
n01856380	Chinese goose, Anser cygnoides
n01856553	greylag, graylag, greylag goose, graylag goose, Anser anser
n01856890	blue goose, Chen caerulescens
n01857079	snow goose
n01857325	brant, brant goose, brent, brent goose
n01857512	common brant goose, Branta bernicla
n01857632	honker, Canada goose, Canadian goose, Branta canadensis
n01857851	barnacle goose, barnacle, Branta leucopsis
n01858281	coscoroba
n01858441	swan
n01858780	cob
n01858845	pen
n01858906	cygnet
n01859190	mute swan, Cygnus olor
n01859325	whooper, whooper swan, Cygnus cygnus
n01859496	tundra swan, Cygnus columbianus
n01859689	whistling swan, Cygnus columbianus columbianus
n01859852	Bewick's swan, Cygnus columbianus bewickii
n01860002	trumpeter, trumpeter swan, Cygnus buccinator
n01860187	black swan, Cygnus atratus
n01860497	screamer
n01860864	horned screamer, Anhima cornuta
n01861148	crested screamer
n01861330	chaja, Chauna torquata
n01861778	mammal, mammalian
n01862399	female mammal
n01871265	tusker
n01871543	prototherian
n01871875	monotreme, egg-laying mammal
n01872401	echidna, spiny anteater, anteater
n01872772	echidna, spiny anteater, anteater
n01873310	platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus
n01874434	marsupial, pouched mammal
n01874928	opossum, possum
n01875313	common opossum, Didelphis virginiana, Didelphis marsupialis
n01875610	crab-eating opossum
n01876034	opossum rat
n01876326	bandicoot
n01876667	rabbit-eared bandicoot, rabbit bandicoot, bilby, Macrotis lagotis
n01877134	kangaroo
n01877606	giant kangaroo, great grey kangaroo, Macropus giganteus
n01877812	wallaby, brush kangaroo
n01878061	common wallaby, Macropus agiles
n01878335	hare wallaby, kangaroo hare
n01878639	nail-tailed wallaby, nail-tailed kangaroo
n01878929	rock wallaby, rock kangaroo
n01879217	pademelon, paddymelon
n01879509	tree wallaby, tree kangaroo
n01879837	musk kangaroo, Hypsiprymnodon moschatus
n01880152	rat kangaroo, kangaroo rat
n01880473	potoroo
n01880716	bettong
n01880813	jerboa kangaroo, kangaroo jerboa
n01881171	phalanger, opossum, possum
n01881564	cuscus
n01881857	brush-tailed phalanger, Trichosurus vulpecula
n01882125	flying phalanger, flying opossum, flying squirrel
n01882714	koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus
n01883070	wombat
n01883513	dasyurid marsupial, dasyurid
n01883920	dasyure
n01884104	eastern dasyure, Dasyurus quoll
n01884203	native cat, Dasyurus viverrinus
n01884476	thylacine, Tasmanian wolf, Tasmanian tiger, Thylacinus cynocephalus
n01884834	Tasmanian devil, ursine dasyure, Sarcophilus hariisi
n01885158	pouched mouse, marsupial mouse, marsupial rat
n01885498	numbat, banded anteater, anteater, Myrmecobius fasciatus
n01886045	pouched mole, marsupial mole, Notoryctus typhlops
n01886756	placental, placental mammal, eutherian, eutherian mammal
n01887474	livestock, stock, farm animal
n01887623	bull
n01887787	cow
n01887896	calf
n01888045	calf
n01888181	yearling
n01888264	buck
n01888411	doe
n01889074	insectivore
n01889520	mole
n01889849	starnose mole, star-nosed mole, Condylura cristata
n01890144	brewer's mole, hair-tailed mole, Parascalops breweri
n01890564	golden mole
n01890860	shrew mole
n01891013	Asiatic shrew mole, Uropsilus soricipes
n01891274	American shrew mole, Neurotrichus gibbsii
n01891633	shrew, shrewmouse
n01892030	common shrew, Sorex araneus
n01892145	masked shrew, Sorex cinereus
n01892385	short-tailed shrew, Blarina brevicauda
n01892551	water shrew
n01892744	American water shrew, Sorex palustris
n01893021	European water shrew, Neomys fodiens
n01893164	Mediterranean water shrew, Neomys anomalus
n01893399	least shrew, Cryptotis parva
n01893825	hedgehog, Erinaceus europaeus, Erinaceus europeaeus
n01894207	tenrec, tendrac
n01894522	tailless tenrec, Tenrec ecaudatus
n01894956	otter shrew, potamogale, Potamogale velox
n01896844	eiderdown
n01897257	aftershaft
n01897426	sickle feather
n01897536	contour feather
n01897667	bastard wing, alula, spurious wing
n01898593	saddle hackle, saddle feather
n01899894	encolure
n01900150	hair
n01903234	squama
n01903346	scute
n01903498	sclerite
n01904029	plastron
n01904806	scallop shell
n01904886	oyster shell
n01905321	theca
n01905661	invertebrate
n01906749	sponge, poriferan, parazoan
n01907287	choanocyte, collar cell
n01907738	glass sponge
n01908042	Venus's flower basket
n01908958	metazoan
n01909422	coelenterate, cnidarian
n01909788	planula
n01909906	polyp
n01910252	medusa, medusoid, medusan
n01910747	jellyfish
n01911063	scyphozoan
n01911403	Chrysaora quinquecirrha
n01911839	hydrozoan, hydroid
n01912152	hydra
n01912454	siphonophore
n01912809	nanomia
n01913166	Portuguese man-of-war, man-of-war, jellyfish
n01913346	praya
n01913440	apolemia
n01914163	anthozoan, actinozoan
n01914609	sea anemone, anemone
n01914830	actinia, actinian, actiniarian
n01915700	sea pen
n01915811	coral
n01916187	gorgonian, gorgonian coral
n01916388	sea feather
n01916481	sea fan
n01916588	red coral
n01916925	stony coral, madrepore, madriporian coral
n01917289	brain coral
n01917611	staghorn coral, stag's-horn coral
n01917882	mushroom coral
n01918744	ctenophore, comb jelly
n01919385	beroe
n01920051	platyctenean
n01920438	sea gooseberry
n01921059	Venus's girdle, Cestum veneris
n01922303	worm
n01922717	helminth, parasitic worm
n01922948	woodworm
n01923025	woodborer, borer
n01923404	acanthocephalan, spiny-headed worm
n01923890	arrowworm, chaetognath
n01924800	bladder worm
n01924916	flatworm, platyhelminth
n01925270	planarian, planaria
n01925695	fluke, trematode, trematode worm
n01925916	cercaria
n01926379	liver fluke, Fasciola hepatica
n01926689	Fasciolopsis buski
n01927159	schistosome, blood fluke
n01927456	tapeworm, cestode
n01927928	echinococcus
n01928215	taenia
n01928517	ribbon worm, nemertean, nemertine, proboscis worm
n01928865	beard worm, pogonophoran
n01929186	rotifer
n01930112	nematode, nematode worm, roundworm
n01930852	common roundworm, Ascaris lumbricoides
n01931140	chicken roundworm, Ascaridia galli
n01931520	pinworm, threadworm, Enterobius vermicularis
n01931714	eelworm
n01932151	vinegar eel, vinegar worm, Anguillula aceti, Turbatrix aceti
n01932936	trichina, Trichinella spiralis
n01933151	hookworm
n01933478	filaria
n01933988	Guinea worm, Dracunculus medinensis
n01934440	annelid, annelid worm, segmented worm
n01934844	archiannelid
n01935176	oligochaete, oligochaete worm
n01935395	earthworm, angleworm, fishworm, fishing worm, wiggler, nightwalker, nightcrawler, crawler, dew worm, red worm
n01936391	polychaete, polychete, polychaete worm, polychete worm
n01936671	lugworm, lug, lobworm
n01936858	sea mouse
n01937579	bloodworm
n01937909	leech, bloodsucker, hirudinean
n01938454	medicinal leech, Hirudo medicinalis
n01938735	horseleech
n01940736	mollusk, mollusc, shellfish
n01941223	scaphopod
n01941340	tooth shell, tusk shell
n01942177	gastropod, univalve
n01942869	abalone, ear-shell
n01943087	ormer, sea-ear, Haliotis tuberculata
n01943541	scorpion shell
n01943899	conch
n01944118	giant conch, Strombus gigas
n01944390	snail
n01944812	edible snail, Helix pomatia
n01944955	garden snail
n01945143	brown snail, Helix aspersa
n01945340	Helix hortensis
n01945685	slug
n01945845	seasnail
n01946277	neritid, neritid gastropod
n01946630	nerita
n01946827	bleeding tooth, Nerita peloronta
n01947139	neritina
n01947396	whelk
n01947997	moon shell, moonshell
n01948446	periwinkle, winkle
n01948573	limpet
n01949085	common limpet, Patella vulgata
n01949499	keyhole limpet, Fissurella apertura, Diodora apertura
n01949973	river limpet, freshwater limpet, Ancylus fluviatilis
n01950731	sea slug, nudibranch
n01951274	sea hare, Aplysia punctata
n01951613	Hermissenda crassicornis
n01952029	bubble shell
n01952712	physa
n01953361	cowrie, cowry
n01953594	money cowrie, Cypraea moneta
n01953762	tiger cowrie, Cypraea tigris
n01954516	solenogaster, aplacophoran
n01955084	chiton, coat-of-mail shell, sea cradle, polyplacophore
n01955933	bivalve, pelecypod, lamellibranch
n01956344	spat
n01956481	clam
n01956764	seashell
n01957335	soft-shell clam, steamer, steamer clam, long-neck clam, Mya arenaria
n01958038	quahog, quahaug, hard-shell clam, hard clam, round clam, Venus mercenaria, Mercenaria mercenaria
n01958346	littleneck, littleneck clam
n01958435	cherrystone, cherrystone clam
n01958531	geoduck
n01959029	razor clam, jackknife clam, knife-handle
n01959492	giant clam, Tridacna gigas
n01959985	cockle
n01960177	edible cockle, Cardium edule
n01960459	oyster
n01961234	Japanese oyster, Ostrea gigas
n01961600	Virginia oyster
n01961985	pearl oyster, Pinctada margaritifera
n01962506	saddle oyster, Anomia ephippium
n01962788	window oyster, windowpane oyster, capiz, Placuna placenta
n01963317	ark shell
n01963479	blood clam
n01963571	mussel
n01964049	marine mussel, mytilid
n01964271	edible mussel, Mytilus edulis
n01964441	freshwater mussel, freshwater clam
n01964957	pearly-shelled mussel
n01965252	thin-shelled mussel
n01965529	zebra mussel, Dreissena polymorpha
n01965889	scallop, scollop, escallop
n01966377	bay scallop, Pecten irradians
n01966586	sea scallop, giant scallop, Pecten magellanicus
n01967094	shipworm, teredinid
n01967308	teredo
n01967963	piddock
n01968315	cephalopod, cephalopod mollusk
n01968897	chambered nautilus, pearly nautilus, nautilus
n01969726	octopod
n01970164	octopus, devilfish
n01970667	paper nautilus, nautilus, Argonaut, Argonauta argo
n01971094	decapod
n01971280	squid
n01971620	loligo
n01971850	ommastrephes
n01972131	architeuthis, giant squid
n01972541	cuttlefish, cuttle
n01973148	spirula, Spirula peronii
n01974773	crustacean
n01975687	malacostracan crustacean
n01976146	decapod crustacean, decapod
n01976868	brachyuran
n01976957	crab
n01977485	stone crab, Menippe mercenaria
n01978010	hard-shell crab
n01978136	soft-shell crab, soft-shelled crab
n01978287	Dungeness crab, Cancer magister
n01978455	rock crab, Cancer irroratus
n01978587	Jonah crab, Cancer borealis
n01978930	swimming crab
n01979269	English lady crab, Portunus puber
n01979526	American lady crab, lady crab, calico crab, Ovalipes ocellatus
n01979874	blue crab, Callinectes sapidus
n01980166	fiddler crab
n01980655	pea crab
n01981276	king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica
n01981702	spider crab
n01982068	European spider crab, king crab, Maja squinado
n01982347	giant crab, Macrocheira kaempferi
n01982650	lobster
n01983048	true lobster
n01983481	American lobster, Northern lobster, Maine lobster, Homarus americanus
n01983674	European lobster, Homarus vulgaris
n01983829	Cape lobster, Homarus capensis
n01984245	Norway lobster, Nephrops norvegicus
n01984695	spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish
n01985128	crayfish, crawfish, crawdad, crawdaddy
n01985493	Old World crayfish, ecrevisse
n01985797	American crayfish
n01986214	hermit crab
n01986806	shrimp
n01987076	snapping shrimp, pistol shrimp
n01987545	prawn
n01987727	long-clawed prawn, river prawn, Palaemon australis
n01988203	tropical prawn
n01988701	krill
n01988869	Euphausia pacifica
n01989516	opossum shrimp
n01989869	stomatopod, stomatopod crustacean
n01990007	mantis shrimp, mantis crab
n01990516	squilla, mantis prawn
n01990800	isopod
n01991028	woodlouse, slater
n01991520	pill bug
n01992262	sow bug
n01992423	sea louse, sea slater
n01992773	amphipod
n01993525	skeleton shrimp
n01993830	whale louse
n01994910	daphnia, water flea
n01995514	fairy shrimp
n01995686	brine shrimp, Artemia salina
n01996280	tadpole shrimp
n01996585	copepod, copepod crustacean
n01997119	cyclops, water flea
n01997825	seed shrimp, mussel shrimp, ostracod
n01998183	barnacle, cirriped, cirripede
n01998741	acorn barnacle, rock barnacle, Balanus balanoides
n01999186	goose barnacle, gooseneck barnacle, Lepas fascicularis
n01999767	onychophoran, velvet worm, peripatus
n02000954	wading bird, wader
n02002075	stork
n02002556	white stork, Ciconia ciconia
n02002724	black stork, Ciconia nigra
n02003037	adjutant bird, adjutant, adjutant stork, Leptoptilus dubius
n02003204	marabou, marabout, marabou stork, Leptoptilus crumeniferus
n02003577	openbill
n02003839	jabiru, Jabiru mycteria
n02004131	saddlebill, jabiru, Ephippiorhynchus senegalensis
n02004492	policeman bird, black-necked stork, jabiru, Xenorhyncus asiaticus
n02004855	wood ibis, wood stork, flinthead, Mycteria americana
n02005399	shoebill, shoebird, Balaeniceps rex
n02005790	ibis
n02006063	wood ibis, wood stork, Ibis ibis
n02006364	sacred ibis, Threskiornis aethiopica
n02006656	spoonbill
n02006985	common spoonbill, Platalea leucorodia
n02007284	roseate spoonbill, Ajaia ajaja
n02007558	flamingo
n02008041	heron
n02008497	great blue heron, Ardea herodius
n02008643	great white heron, Ardea occidentalis
n02008796	egret
n02009229	little blue heron, Egretta caerulea
n02009380	snowy egret, snowy heron, Egretta thula
n02009508	little egret, Egretta garzetta
n02009750	great white heron, Casmerodius albus
n02009912	American egret, great white heron, Egretta albus
n02010272	cattle egret, Bubulcus ibis
n02010453	night heron, night raven
n02010728	black-crowned night heron, Nycticorax nycticorax
n02011016	yellow-crowned night heron, Nyctanassa violacea
n02011281	boatbill, boat-billed heron, broadbill, Cochlearius cochlearius
n02011460	bittern
n02011805	American bittern, stake driver, Botaurus lentiginosus
n02011943	European bittern, Botaurus stellaris
n02012185	least bittern, Ixobrychus exilis
n02012849	crane
n02013177	whooping crane, whooper, Grus americana
n02013567	courlan, Aramus guarauna
n02013706	limpkin, Aramus pictus
n02014237	crested cariama, seriema, Cariama cristata
n02014524	chunga, seriema, Chunga burmeisteri
n02014941	rail
n02015357	weka, maori hen, wood hen
n02015554	crake
n02015797	corncrake, land rail, Crex crex
n02016066	spotted crake, Porzana porzana
n02016358	gallinule, marsh hen, water hen, swamphen
n02016659	Florida gallinule, Gallinula chloropus cachinnans
n02016816	moorhen, Gallinula chloropus
n02016956	purple gallinule
n02017213	European gallinule, Porphyrio porphyrio
n02017475	American gallinule, Porphyrula martinica
n02017725	notornis, takahe, Notornis mantelli
n02018027	coot
n02018207	American coot, marsh hen, mud hen, water hen, Fulica americana
n02018368	Old World coot, Fulica atra
n02018795	bustard
n02019190	great bustard, Otis tarda
n02019438	plain turkey, Choriotis australis
n02019929	button quail, button-quail, bustard quail, hemipode
n02020219	striped button quail, Turnix sylvatica
n02020578	plain wanderer, Pedionomus torquatus
n02021050	trumpeter
n02021281	Brazilian trumpeter, Psophia crepitans
n02021795	seabird, sea bird, seafowl
n02022684	shorebird, shore bird, limicoline bird
n02023341	plover
n02023855	piping plover, Charadrius melodus
n02023992	killdeer, kildeer, killdeer plover, Charadrius vociferus
n02024185	dotterel, dotrel, Charadrius morinellus, Eudromias morinellus
n02024479	golden plover
n02024763	lapwing, green plover, peewit, pewit
n02025043	turnstone
n02025239	ruddy turnstone, Arenaria interpres
n02025389	black turnstone, Arenaria-Melanocephala
n02026059	sandpiper
n02026629	surfbird, Aphriza virgata
n02026948	European sandpiper, Actitis hypoleucos
n02027075	spotted sandpiper, Actitis macularia
n02027357	least sandpiper, stint, Erolia minutilla
n02027492	red-backed sandpiper, dunlin, Erolia alpina
n02027897	greenshank, Tringa nebularia
n02028035	redshank, Tringa totanus
n02028175	yellowlegs
n02028342	greater yellowlegs, Tringa melanoleuca
n02028451	lesser yellowlegs, Tringa flavipes
n02028727	pectoral sandpiper, jacksnipe, Calidris melanotos
n02028900	knot, greyback, grayback, Calidris canutus
n02029087	curlew sandpiper, Calidris Ferruginea
n02029378	sanderling, Crocethia alba
n02029706	upland sandpiper, upland plover, Bartramian sandpiper, Bartramia longicauda
n02030035	ruff, Philomachus pugnax
n02030224	reeve
n02030287	tattler
n02030568	Polynesian tattler, Heteroscelus incanus
n02030837	willet, Catoptrophorus semipalmatus
n02030996	woodcock
n02031298	Eurasian woodcock, Scolopax rusticola
n02031585	American woodcock, woodcock snipe, Philohela minor
n02031934	snipe
n02032222	whole snipe, Gallinago gallinago
n02032355	Wilson's snipe, Gallinago gallinago delicata
n02032480	great snipe, woodcock snipe, Gallinago media
n02032769	jacksnipe, half snipe, Limnocryptes minima
n02033041	dowitcher
n02033208	greyback, grayback, Limnodromus griseus
n02033324	red-breasted snipe, Limnodromus scolopaceus
n02033561	curlew
n02033779	European curlew, Numenius arquata
n02033882	Eskimo curlew, Numenius borealis
n02034129	godwit
n02034295	Hudsonian godwit, Limosa haemastica
n02034661	stilt, stiltbird, longlegs, long-legs, stilt plover, Himantopus stilt
n02034971	black-necked stilt, Himantopus mexicanus
n02035210	black-winged stilt, Himantopus himantopus
n02035402	white-headed stilt, Himantopus himantopus leucocephalus
n02035656	kaki, Himantopus novae-zelandiae
n02036053	stilt, Australian stilt
n02036228	banded stilt, Cladorhyncus leucocephalum
n02036711	avocet
n02037110	oystercatcher, oyster catcher
n02037464	phalarope
n02037869	red phalarope, Phalaropus fulicarius
n02038141	northern phalarope, Lobipes lobatus
n02038466	Wilson's phalarope, Steganopus tricolor
n02038993	pratincole, glareole
n02039171	courser
n02039497	cream-colored courser, Cursorius cursor
n02039780	crocodile bird, Pluvianus aegyptius
n02040266	stone curlew, thick-knee, Burhinus oedicnemus
n02040505	coastal diving bird
n02041085	larid
n02041246	gull, seagull, sea gull
n02041678	mew, mew gull, sea mew, Larus canus
n02041875	black-backed gull, great black-backed gull, cob, Larus marinus
n02042046	herring gull, Larus argentatus
n02042180	laughing gull, blackcap, pewit, pewit gull, Larus ridibundus
n02042472	ivory gull, Pagophila eburnea
n02042759	kittiwake
n02043063	tern
n02043333	sea swallow, Sterna hirundo
n02043808	skimmer
n02044178	jaeger
n02044517	parasitic jaeger, arctic skua, Stercorarius parasiticus
n02044778	skua, bonxie
n02044908	great skua, Catharacta skua
n02045369	auk
n02045596	auklet
n02045864	razorbill, razor-billed auk, Alca torda
n02046171	little auk, dovekie, Plautus alle
n02046759	guillemot
n02046939	black guillemot, Cepphus grylle
n02047045	pigeon guillemot, Cepphus columba
n02047260	murre
n02047411	common murre, Uria aalge
n02047517	thick-billed murre, Uria lomvia
n02047614	puffin
n02047975	Atlantic puffin, Fratercula arctica
n02048115	horned puffin, Fratercula corniculata
n02048353	tufted puffin, Lunda cirrhata
n02048698	gaviiform seabird
n02049088	loon, diver
n02049532	podicipitiform seabird
n02050004	grebe
n02050313	great crested grebe, Podiceps cristatus
n02050442	red-necked grebe, Podiceps grisegena
n02050586	black-necked grebe, eared grebe, Podiceps nigricollis
n02050809	dabchick, little grebe, Podiceps ruficollis
n02051059	pied-billed grebe, Podilymbus podiceps
n02051474	pelecaniform seabird
n02051845	pelican
n02052204	white pelican, Pelecanus erythrorhynchos
n02052365	Old world white pelican, Pelecanus onocrotalus
n02052775	frigate bird, man-of-war bird
n02053083	gannet
n02053425	solan, solan goose, solant goose, Sula bassana
n02053584	booby
n02054036	cormorant, Phalacrocorax carbo
n02054502	snakebird, anhinga, darter
n02054711	water turkey, Anhinga anhinga
n02055107	tropic bird, tropicbird, boatswain bird
n02055658	sphenisciform seabird
n02055803	penguin
n02056228	Adelie, Adelie penguin, Pygoscelis adeliae
n02056570	king penguin, Aptenodytes patagonica
n02056728	emperor penguin, Aptenodytes forsteri
n02057035	jackass penguin, Spheniscus demersus
n02057330	rock hopper, crested penguin
n02057731	pelagic bird, oceanic bird
n02057898	procellariiform seabird
n02058221	albatross, mollymawk
n02058594	wandering albatross, Diomedea exulans
n02058747	black-footed albatross, gooney, gooney bird, goonie, goony, Diomedea nigripes
n02059162	petrel
n02059541	white-chinned petrel, Procellaria aequinoctialis
n02059852	giant petrel, giant fulmar, Macronectes giganteus
n02060133	fulmar, fulmar petrel, Fulmarus glacialis
n02060411	shearwater
n02060569	Manx shearwater, Puffinus puffinus
n02060889	storm petrel
n02061217	stormy petrel, northern storm petrel, Hydrobates pelagicus
n02061560	Mother Carey's chicken, Mother Carey's hen, Oceanites oceanicus
n02061853	diving petrel
n02062017	aquatic mammal
n02062430	cetacean, cetacean mammal, blower
n02062744	whale
n02063224	baleen whale, whalebone whale
n02063662	right whale
n02064000	bowhead, bowhead whale, Greenland whale, Balaena mysticetus
n02064338	rorqual, razorback
n02064816	blue whale, sulfur bottom, Balaenoptera musculus
n02065026	finback, finback whale, fin whale, common rorqual, Balaenoptera physalus
n02065263	sei whale, Balaenoptera borealis
n02065407	lesser rorqual, piked whale, minke whale, Balaenoptera acutorostrata
n02065726	humpback, humpback whale, Megaptera novaeangliae
n02066245	grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus
n02066707	toothed whale
n02067240	sperm whale, cachalot, black whale, Physeter catodon
n02067603	pygmy sperm whale, Kogia breviceps
n02067768	dwarf sperm whale, Kogia simus
n02068206	beaked whale
n02068541	bottle-nosed whale, bottlenose whale, bottlenose, Hyperoodon ampullatus
n02068974	dolphin
n02069412	common dolphin, Delphinus delphis
n02069701	bottlenose dolphin, bottle-nosed dolphin, bottlenose
n02069974	Atlantic bottlenose dolphin, Tursiops truncatus
n02070174	Pacific bottlenose dolphin, Tursiops gilli
n02070430	porpoise
n02070624	harbor porpoise, herring hog, Phocoena phocoena
n02070776	vaquita, Phocoena sinus
n02071028	grampus, Grampus griseus
n02071294	killer whale, killer, orca, grampus, sea wolf, Orcinus orca
n02071636	pilot whale, black whale, common blackfish, blackfish, Globicephala melaena
n02072040	river dolphin
n02072493	narwhal, narwal, narwhale, Monodon monoceros
n02072798	white whale, beluga, Delphinapterus leucas
n02073250	sea cow, sirenian mammal, sirenian
n02073831	manatee, Trichechus manatus
n02074367	dugong, Dugong dugon
n02074726	Steller's sea cow, Hydrodamalis gigas
n02075296	carnivore
n02075612	omnivore
n02075927	pinniped mammal, pinniped, pinnatiped
n02076196	seal
n02076402	crabeater seal, crab-eating seal
n02076779	eared seal
n02077152	fur seal
n02077384	guadalupe fur seal, Arctocephalus philippi
n02077658	fur seal
n02077787	Alaska fur seal, Callorhinus ursinus
n02077923	sea lion
n02078292	South American sea lion, Otaria Byronia
n02078574	California sea lion, Zalophus californianus, Zalophus californicus
n02078738	Australian sea lion, Zalophus lobatus
n02079005	Steller sea lion, Steller's sea lion, Eumetopias jubatus
n02079389	earless seal, true seal, hair seal
n02079851	harbor seal, common seal, Phoca vitulina
n02080146	harp seal, Pagophilus groenlandicus
n02080415	elephant seal, sea elephant
n02080713	bearded seal, squareflipper square flipper, Erignathus barbatus
n02081060	hooded seal, bladdernose, Cystophora cristata
n02081571	walrus, seahorse, sea horse
n02081798	Atlantic walrus, Odobenus rosmarus
n02081927	Pacific walrus, Odobenus divergens
n02082056	Fissipedia
n02082190	fissiped mammal, fissiped
n02082791	aardvark, ant bear, anteater, Orycteropus afer
n02083346	canine, canid
n02083672	bitch
n02083780	brood bitch
n02084071	dog, domestic dog, Canis familiaris
n02084732	pooch, doggie, doggy, barker, bow-wow
n02084861	cur, mongrel, mutt
n02085019	feist, fice
n02085118	pariah dog, pye-dog, pie-dog
n02085272	lapdog
n02085374	toy dog, toy
n02085620	Chihuahua
n02085782	Japanese spaniel
n02085936	Maltese dog, Maltese terrier, Maltese
n02086079	Pekinese, Pekingese, Peke
n02086240	Shih-Tzu
n02086346	toy spaniel
n02086478	English toy spaniel
n02086646	Blenheim spaniel
n02086753	King Charles spaniel
n02086910	papillon
n02087046	toy terrier
n02087122	hunting dog
n02087314	courser
n02087394	Rhodesian ridgeback
n02087551	hound, hound dog
n02088094	Afghan hound, Afghan
n02088238	basset, basset hound
n02088364	beagle
n02088466	bloodhound, sleuthhound
n02088632	bluetick
n02088745	boarhound
n02088839	coonhound
n02088992	coondog
n02089078	black-and-tan coonhound
n02089232	dachshund, dachsie, badger dog
n02089468	sausage dog, sausage hound
n02089555	foxhound
n02089725	American foxhound
n02089867	Walker hound, Walker foxhound
n02089973	English foxhound
n02090129	harrier
n02090253	Plott hound
n02090379	redbone
n02090475	wolfhound
n02090622	borzoi, Russian wolfhound
n02090721	Irish wolfhound
n02090827	greyhound
n02091032	Italian greyhound
n02091134	whippet
n02091244	Ibizan hound, Ibizan Podenco
n02091467	Norwegian elkhound, elkhound
n02091635	otterhound, otter hound
n02091831	Saluki, gazelle hound
n02092002	Scottish deerhound, deerhound
n02092173	staghound
n02092339	Weimaraner
n02092468	terrier
n02093056	bullterrier, bull terrier
n02093256	Staffordshire bullterrier, Staffordshire bull terrier
n02093428	American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier
n02093647	Bedlington terrier
n02093754	Border terrier
n02093859	Kerry blue terrier
n02093991	Irish terrier
n02094114	Norfolk terrier
n02094258	Norwich terrier
n02094433	Yorkshire terrier
n02094562	rat terrier, ratter
n02094721	Manchester terrier, black-and-tan terrier
n02094931	toy Manchester, toy Manchester terrier
n02095050	fox terrier
n02095212	smooth-haired fox terrier
n02095314	wire-haired fox terrier
n02095412	wirehair, wirehaired terrier, wire-haired terrier
n02095570	Lakeland terrier
n02095727	Welsh terrier
n02095889	Sealyham terrier, Sealyham
n02096051	Airedale, Airedale terrier
n02096177	cairn, cairn terrier
n02096294	Australian terrier
n02096437	Dandie Dinmont, Dandie Dinmont terrier
n02096585	Boston bull, Boston terrier
n02096756	schnauzer
n02097047	miniature schnauzer
n02097130	giant schnauzer
n02097209	standard schnauzer
n02097298	Scotch terrier, Scottish terrier, Scottie
n02097474	Tibetan terrier, chrysanthemum dog
n02097658	silky terrier, Sydney silky
n02097786	Skye terrier
n02097967	Clydesdale terrier
n02098105	soft-coated wheaten terrier
n02098286	West Highland white terrier
n02098413	Lhasa, Lhasa apso
n02098550	sporting dog, gun dog
n02098806	bird dog
n02098906	water dog
n02099029	retriever
n02099267	flat-coated retriever
n02099429	curly-coated retriever
n02099601	golden retriever
n02099712	Labrador retriever
n02099849	Chesapeake Bay retriever
n02099997	pointer, Spanish pointer
n02100236	German short-haired pointer
n02100399	setter
n02100583	vizsla, Hungarian pointer
n02100735	English setter
n02100877	Irish setter, red setter
n02101006	Gordon setter
n02101108	spaniel
n02101388	Brittany spaniel
n02101556	clumber, clumber spaniel
n02101670	field spaniel
n02101861	springer spaniel, springer
n02102040	English springer, English springer spaniel
n02102177	Welsh springer spaniel
n02102318	cocker spaniel, English cocker spaniel, cocker
n02102480	Sussex spaniel
n02102605	water spaniel
n02102806	American water spaniel
n02102973	Irish water spaniel
n02103181	griffon, wire-haired pointing griffon
n02103406	working dog
n02103841	watchdog, guard dog
n02104029	kuvasz
n02104184	attack dog
n02104280	housedog
n02104365	schipperke
n02104523	shepherd dog, sheepdog, sheep dog
n02104882	Belgian sheepdog, Belgian shepherd
n02105056	groenendael
n02105162	malinois
n02105251	briard
n02105412	kelpie
n02105505	komondor
n02105641	Old English sheepdog, bobtail
n02105855	Shetland sheepdog, Shetland sheep dog, Shetland
n02106030	collie
n02106166	Border collie
n02106382	Bouvier des Flandres, Bouviers des Flandres
n02106550	Rottweiler
n02106662	German shepherd, German shepherd dog, German police dog, alsatian
n02106854	police dog
n02106966	pinscher
n02107142	Doberman, Doberman pinscher
n02107312	miniature pinscher
n02107420	Sennenhunde
n02107574	Greater Swiss Mountain dog
n02107683	Bernese mountain dog
n02107908	Appenzeller
n02108000	EntleBucher
n02108089	boxer
n02108254	mastiff
n02108422	bull mastiff
n02108551	Tibetan mastiff
n02108672	bulldog, English bulldog
n02108915	French bulldog
n02109047	Great Dane
n02109150	guide dog
n02109256	Seeing Eye dog
n02109391	hearing dog
n02109525	Saint Bernard, St Bernard
n02109687	seizure-alert dog
n02109811	sled dog, sledge dog
n02109961	Eskimo dog, husky
